Data.Date,Demand..MW.
2016-02-06,17128.833333333332
2016-02-07,16529.625
2016-02-08,18359.583333333332
2016-02-09,18682.291666666668
2016-02-10,18736.833333333332
2016-02-11,19897.041666666668
2016-02-12,20071.708333333332
2016-02-13,19674.041666666668
2016-02-14,20295.75
2016-02-15,20591.625
2016-02-16,18840.791666666668
2016-02-17,18611.25
2016-02-18,18868.583333333332
2016-02-19,18968.833333333332
2016-02-20,16387.5
2016-02-21,16037.25
2016-02-22,17633.0
2016-02-23,18523.625
2016-02-24,18432.875
2016-02-25,17781.708333333332
2016-02-26,18508.208333333332
2016-02-27,17284.833333333332
2016-02-28,15854.625
2016-02-29,17296.875
2016-03-01,17644.5
2016-03-02,17916.541666666668
2016-03-03,18603.125
2016-03-04,18493.458333333332
2016-03-05,17058.541666666668
2016-03-06,16289.875
2016-03-07,17344.833333333332
2016-03-08,16770.25
2016-03-09,16409.625
2016-03-10,16505.041666666668
2016-03-11,16347.583333333334
2016-03-12,15157.0
2016-03-13,14892.608695652174
2016-03-14,16925.75
2016-03-15,16775.958333333332
2016-03-16,16350.875
2016-03-17,16352.125
2016-03-18,16499.583333333332
2016-03-19,15714.916666666666
2016-03-20,15961.333333333334
2016-03-21,17333.708333333332
2016-03-22,17089.541666666668
2016-03-23,16696.666666666668
2016-03-24,16600.666666666668
2016-03-25,16100.041666666666
2016-03-26,15135.916666666666
2016-03-27,14431.75
2016-03-28,16546.166666666668
2016-03-29,16669.666666666668
2016-03-30,16545.625
2016-03-31,16337.375
2016-04-01,16347.583333333334
2016-04-02,15220.958333333334
2016-04-03,15799.708333333334
2016-04-04,17989.166666666668
2016-04-05,17922.083333333332
2016-04-06,17737.875
2016-04-07,16947.25
2016-04-08,16922.583333333332
2016-04-09,16126.0
2016-04-10,15696.75
2016-04-11,16933.125
2016-04-12,16732.333333333332
2016-04-13,16481.083333333332
2016-04-14,16266.0
2016-04-15,15935.708333333334
2016-04-16,14587.875
2016-04-17,14325.458333333334
2016-04-18,16015.541666666666
2016-04-19,16017.083333333334
2016-04-20,15899.875
2016-04-21,16071.125
2016-04-22,16391.458333333332
2016-04-23,14808.333333333334
2016-04-24,14094.75
2016-04-25,15818.791666666666
2016-04-26,16255.958333333334
2016-04-27,15865.041666666666
2016-04-28,15845.5
2016-04-29,15764.083333333334
2016-04-30,14402.333333333334
2016-05-01,14751.208333333334
2016-05-02,16235.666666666666
2016-05-03,16202.916666666666
2016-05-04,16214.708333333334
2016-05-05,16139.875
2016-05-06,16143.041666666666
2016-05-07,14656.041666666666
2016-05-08,14139.458333333334
2016-05-09,15910.125
2016-05-10,15848.791666666666
2016-05-11,15973.541666666666
2016-05-12,16362.083333333334
2016-05-13,16201.458333333334
2016-05-14,14826.125
2016-05-15,14497.583333333334
2016-05-16,16036.541666666666
2016-05-17,16126.666666666666
2016-05-18,16005.875
2016-05-19,16082.166666666666
2016-05-20,16085.791666666666
2016-05-21,14772.458333333334
2016-05-22,14509.333333333334
2016-05-23,16541.166666666668
2016-05-24,16766.416666666668
2016-05-25,17831.375
2016-05-26,19357.375
2016-05-27,20241.458333333332
2016-05-28,19873.125
2016-05-29,19225.875
2016-05-30,18814.75
2016-05-31,20683.208333333332
2016-06-01,19933.083333333332
2016-06-02,19274.0
2016-06-03,18548.0
2016-06-04,18087.166666666668
2016-06-05,17135.833333333332
2016-06-06,19500.5
2016-06-07,19602.333333333332
2016-06-08,17056.416666666668
2016-06-09,16467.666666666668
2016-06-10,16828.875
2016-06-11,17098.833333333332
2016-06-12,17387.708333333332
2016-06-13,17311.708333333332
2016-06-14,17742.375
2016-06-15,18988.416666666668
2016-06-16,19454.75
2016-06-17,19008.458333333332
2016-06-18,17973.291666666668
2016-06-19,18465.625
2016-06-20,21438.25
2016-06-21,21303.916666666668
2016-06-22,20348.25
2016-06-23,19980.708333333332
2016-06-24,20082.416666666668
2016-06-25,18811.291666666668
2016-06-26,19315.458333333332
2016-06-27,21344.166666666668
2016-06-28,20579.375
2016-06-29,20663.0
2016-06-30,20565.916666666668
2016-07-01,20135.583333333332
2016-07-02,17210.75
2016-07-03,16787.416666666668
2016-07-04,18022.583333333332
2016-07-05,22196.041666666668
2016-07-06,24335.208333333332
2016-07-07,24890.5
2016-07-08,23306.25
2016-07-09,18628.208333333332
2016-07-10,18201.583333333332
2016-07-11,20012.833333333332
2016-07-12,21363.916666666668
2016-07-13,23157.916666666668
2016-07-14,24269.083333333332
2016-07-15,24718.75
2016-07-16,21749.25
2016-07-17,21577.25
2016-07-18,24472.416666666668
2016-07-19,22021.875
2016-07-20,21077.041666666668
2016-07-21,22791.208333333332
2016-07-22,25392.916666666668
2016-07-23,24211.958333333332
2016-07-24,22635.083333333332
2016-07-25,24610.291666666668
2016-07-26,24486.916666666668
2016-07-27,24587.458333333332
2016-07-28,25071.416666666668
2016-07-29,23419.041666666668
2016-07-30,21204.125
2016-07-31,20259.208333333332
2016-08-01,21374.958333333332
2016-08-02,20830.5
2016-08-03,20766.75
2016-08-04,21479.75
2016-08-05,22121.958333333332
2016-08-06,21730.333333333332
2016-08-07,20449.916666666668
2016-08-08,22091.333333333332
2016-08-09,22756.583333333332
2016-08-10,24687.958333333332
2016-08-11,26596.125
2016-08-12,26588.083333333332
2016-08-13,26029.5
2016-08-14,25067.583333333332
2016-08-15,25366.583333333332
2016-08-16,25625.416666666668
2016-08-17,24291.833333333332
2016-08-18,23344.75
2016-08-19,23621.375
2016-08-20,21951.208333333332
2016-08-21,21598.041666666668
2016-08-22,20384.666666666668
2016-08-23,19499.375
2016-08-24,21362.875
2016-08-25,22410.541666666668
2016-08-26,24233.833333333332
2016-08-27,21429.708333333332
2016-08-28,21406.916666666668
2016-08-29,23570.333333333332
2016-08-30,22015.791666666668
2016-08-31,22624.5
2016-09-01,21185.416666666668
2016-09-02,19425.666666666668
2016-09-03,17118.333333333332
2016-09-04,16764.333333333332
2016-09-05,17569.083333333332
2016-09-06,20510.791666666668
2016-09-07,22061.708333333332
2016-09-08,23769.916666666668
2016-09-09,24958.25
2016-09-10,23231.958333333332
2016-09-11,20275.5
2016-09-12,18923.583333333332
2016-09-13,19542.0
2016-09-14,20644.833333333332
2016-09-15,18124.875
2016-09-16,17637.291666666668
2016-09-17,16790.041666666668
2016-09-18,18645.25
2016-09-19,20365.333333333332
2016-09-20,20511.541666666668
2016-09-21,19911.666666666668
2016-09-22,19712.208333333332
2016-09-23,19503.875
2016-09-24,16075.458333333334
2016-09-25,14965.416666666666
2016-09-26,16779.75
2016-09-27,17594.833333333332
2016-09-28,17189.291666666668
2016-09-29,16653.958333333332
2016-09-30,16374.708333333334
2016-10-01,15231.125
2016-10-02,14979.458333333334
2016-10-03,16585.916666666668
2016-10-04,16606.25
2016-10-05,16389.583333333332
2016-10-06,16610.041666666668
2016-10-07,16595.041666666668
2016-10-08,15414.375
2016-10-09,14848.75
2016-10-10,15810.083333333334
2016-10-11,16296.583333333334
2016-10-12,16270.625
2016-10-13,16501.25
2016-10-14,16097.208333333334
2016-10-15,14973.0
2016-10-16,14877.208333333334
2016-10-17,17124.375
2016-10-18,18020.25
2016-10-19,18119.375
2016-10-20,17111.375
2016-10-21,17375.166666666668
2016-10-22,15460.083333333334
2016-10-23,14881.375
2016-10-24,16339.708333333334
2016-10-25,16674.875
2016-10-26,16865.541666666668
2016-10-27,17535.5
2016-10-28,16843.333333333332
2016-10-29,15610.583333333334
2016-10-30,15133.166666666666
2016-10-31,16437.583333333332
2016-11-01,16774.75
2016-11-02,16546.333333333332
2016-11-03,16673.958333333332
2016-11-04,16241.5
2016-11-05,15301.208333333334
2016-11-06,14981.72
2016-11-07,16786.333333333332
2016-11-08,16772.416666666668
2016-11-09,16934.791666666668
2016-11-10,16845.666666666668
2016-11-11,16586.458333333332
2016-11-12,15890.333333333334
2016-11-13,15409.25
2016-11-14,16766.291666666668
2016-11-15,17061.5
2016-11-16,16739.5
2016-11-17,16689.0
2016-11-18,16532.666666666668
2016-11-19,15529.125
2016-11-20,16446.958333333332
2016-11-21,18366.375
2016-11-22,18222.666666666668
2016-11-23,17716.25
2016-11-24,15849.833333333334
2016-11-25,15979.0
2016-11-26,15774.041666666666
2016-11-27,15952.791666666666
2016-11-28,17379.25
2016-11-29,17468.083333333332
2016-11-30,17155.25
2016-12-01,17146.166666666668
2016-12-02,17275.958333333332
2016-12-03,16411.916666666668
2016-12-04,16234.041666666666
2016-12-05,17896.041666666668
2016-12-06,17915.958333333332
2016-12-07,17940.833333333332
2016-12-08,18124.333333333332
2016-12-09,18479.875
2016-12-10,17720.25
2016-12-11,17703.25
2016-12-12,18542.5
2016-12-13,18352.625
2016-12-14,18645.958333333332
2016-12-15,20212.708333333332
2016-12-16,20480.75
2016-12-17,18730.458333333332
2016-12-18,17558.791666666668
2016-12-19,19743.0
2016-12-20,19812.083333333332
2016-12-21,19037.791666666668
2016-12-22,18547.625
2016-12-23,17804.625
2016-12-24,16814.791666666668
2016-12-25,15882.083333333334
2016-12-26,17215.75
2016-12-27,17277.375
2016-12-28,17954.0
2016-12-29,18315.666666666668
2016-12-30,18056.125
2016-12-31,17280.0
2017-01-01,16060.208333333334
2017-01-02,17386.541666666668
2017-01-03,18084.083333333332
2017-01-04,17955.625
2017-01-05,19150.791666666668
2017-01-06,19196.583333333332
2017-01-07,19000.166666666668
2017-01-08,19063.083333333332
2017-01-09,20598.0
2017-01-10,19956.25
2017-01-11,18019.541666666668
2017-01-12,17393.291666666668
2017-01-13,17582.333333333332
2017-01-14,17619.958333333332
2017-01-15,17040.625
2017-01-16,18006.708333333332
2017-01-17,18251.083333333332
2017-01-18,17983.541666666668
2017-01-19,17673.0
2017-01-20,17605.125
2017-01-21,15960.0
2017-01-22,15781.791666666666
2017-01-23,17906.75
2017-01-24,18423.5
